ID,Nome,Tipo
28908,Painel do sistema:Envidraçado:977214,IfcPlate
28918,Painel do sistema:Envidraçado:977216,IfcPlate
28928,Painel do sistema:Envidraçado:977218,IfcPlate
28938,Painel do sistema:Envidraçado:977220,IfcPlate
28948,Painel do sistema:Envidraçado:977222,IfcPlate
28958,Painel do sistema:Envidraçado:977224,IfcPlate
28968,Painel do sistema:Envidraçado:977226,IfcPlate
29128,Railing:90cm - Axiom:916831,IfcRailing
30987,Railing:Glass Panel - Bottom Fill:928699,IfcRailing
32143,Railing:Glass Panel - Bottom Fill:932721,IfcRailing
33293,Railing:Glass Panel - Bottom Fill:933021,IfcRailing
34434,Railing:Glass Panel - Bottom Fill:953308,IfcRailing
34724,RT_Jan._Correr 2 Folhas:160x60:951934:1,IfcOpeningElement
34740,RT_Jan._Correr 2 Folhas:160x60:952180:1,IfcOpeningElement
34756,JANELA COM ESQUADRIA MAXIM-AR - 1 FOLHA:80 x 60:941179:1,IfcOpeningElement
