ID,Nome,Tipo,GlobalId,Descrição,Modelo,Unidade de Medida
11279,Painel do sistema:Vazio:893513,IfcPlate,10UXJtgpbAPA$s5ElOM41A,,Painel do sistema:Vazio,N/A
11291,Painel do sistema:Vazio:893515,IfcPlate,10UXJtgpbAPA$s5ElOM418,,Painel do sistema:Vazio,N/A
11316,Montante retangular:50 x 150mm telhado axiom:893592,IfcMember,10UXJtgpbAPA$s5ElOM42R,,Montante retangular:50 x 150mm telhado axiom,N/A
11328,Montante retangular:50 x 150mm telhado axiom:893593,IfcMember,10UXJtgpbAPA$s5ElOM42Q,,Montante retangular:50 x 150mm telhado axiom,N/A
11340,Montante retangular:50 x 150mm telhado axiom:893594,IfcMember,10UXJtgpbAPA$s5ElOM42P,,Montante retangular:50 x 150mm telhado axiom,N/A
11352,Montante retangular:50 x 150mm telhado axiom:893595,IfcMember,10UXJtgpbAPA$s5ElOM42O,,Montante retangular:50 x 150mm telhado axiom,N/A
11364,Montante retangular:50 x 150mm telhado axiom:893596,IfcMember,10UXJtgpbAPA$s5ElOM42V,,Montante retangular:50 x 150mm telhado axiom,N/A
11376,Montante retangular:50 x 150mm telhado axiom:893597,IfcMember,10UXJtgpbAPA$s5ElOM42U,,Montante retangular:50 x 150mm telhado axiom,N/A
11388,Montante retangular:50 x 150mm telhado axiom:893598,IfcMember,10UXJtgpbAPA$s5ElOM42T,,Montante retangular:50 x 150mm telhado axiom,N/A
11413,Montante retangular:50 x 150mm telhado axiom:893655,IfcMember,10UXJtgpbAPA$s5ElOM43K,,Montante retangular:50 x 150mm telhado axiom,N/A
11438,Montante retangular:50 x 150mm telhado axiom:893656,IfcMember,10UXJtgpbAPA$s5ElOM43R,,Montante retangular:50 x 150mm telhado axiom,N/A
11468,Painel do sistema:Vazio:893479,IfcPlate,10UXJtgpbAPA$s5ElOM40a,,Painel do sistema:Vazio,N/A
11492,Painel do sistema:Vazio:893489,IfcPlate,10UXJtgpbAPA$s5ElOM40o,,Painel do sistema:Vazio,N/A
11504,Painel do sistema:Vazio:893491,IfcPlate,10UXJtgpbAPA$s5ElOM40m,,Painel do sistema:Vazio,N/A
11516,Painel do sistema:Vazio:893493,IfcPlate,10UXJtgpbAPA$s5ElOM40s,,Painel do sistema:Vazio,N/A
11528,Painel do sistema:Vazio:893495,IfcPlate,10UXJtgpbAPA$s5ElOM40q,,Painel do sistema:Vazio,N/A
11540,Painel do sistema:Vazio:893497,IfcPlate,10UXJtgpbAPA$s5ElOM40w,,Painel do sistema:Vazio,N/A
11552,Painel do sistema:Vazio:893499,IfcPlate,10UXJtgpbAPA$s5ElOM40u,,Painel do sistema:Vazio,N/A
11564,Painel do sistema:Vazio:893501,IfcPlate,10UXJtgpbAPA$s5ElOM40_,,Painel do sistema:Vazio,N/A
11576,Montante retangular:50 x 150mm telhado axiom:893599,IfcMember,10UXJtgpbAPA$s5ElOM42S,,Montante retangular:50 x 150mm telhado axiom,N/A
11588,Montante retangular:50 x 150mm telhado axiom:893600,IfcMember,10UXJtgpbAPA$s5ElOM42Z,,Montante retangular:50 x 150mm telhado axiom,N/A
11600,Montante retangular:50 x 150mm telhado axiom:893601,IfcMember,10UXJtgpbAPA$s5ElOM42Y,,Montante retangular:50 x 150mm telhado axiom,N/A
11612,Montante retangular:50 x 150mm telhado axiom:893602,IfcMember,10UXJtgpbAPA$s5ElOM42X,,Montante retangular:50 x 150mm telhado axiom,N/A
11624,Montante retangular:50 x 150mm telhado axiom:893603,IfcMember,10UXJtgpbAPA$s5ElOM42W,,Montante retangular:50 x 150mm telhado axiom,N/A
11636,Montante retangular:50 x 150mm telhado axiom:893604,IfcMember,10UXJtgpbAPA$s5ElOM42d,,Montante retangular:50 x 150mm telhado axiom,N/A
11648,Montante retangular:50 x 150mm telhado axiom:893605,IfcMember,10UXJtgpbAPA$s5ElOM42c,,Montante retangular:50 x 150mm telhado axiom,N/A
11673,Montante retangular:50 x 150mm telhado axiom:893657,IfcMember,10UXJtgpbAPA$s5ElOM43Q,,Montante retangular:50 x 150mm telhado axiom,N/A
11698,Montante retangular:50 x 150mm telhado axiom:893658,IfcMember,10UXJtgpbAPA$s5ElOM43P,,Montante retangular:50 x 150mm telhado axiom,N/A
11710,Montante retangular:50 x 150mm telhado axiom:893659,IfcMember,10UXJtgpbAPA$s5ElOM43O,,Montante retangular:50 x 150mm telhado axiom,N/A
12171,Floor:15cm - Concreto vassorado:899589,IfcSlab,10UXJtgpbAPA$s5ElOM5W6,,Floor:15cm - Concreto vassorado,FLOOR
12172,Floor:15cm - Concreto vassorado:899589:2,IfcSlab,3teWJIUgw8Uc7yQGvT0nUq,,Floor:15cm - Concreto vassorado,FLOOR
12173,Floor:15cm - Concreto vassorado:899589:3,IfcSlab,2VAb3JI2b8PosN3VHfAeId,,Floor:15cm - Concreto vassorado,FLOOR
12174,Floor:15cm - Concreto vassorado:899589:4,IfcSlab,3dbjrxRz33esI5mEjWPLdj,,Floor:15cm - Concreto vassorado,FLOOR
12175,Floor:15cm - Concreto vassorado:899589:5,IfcSlab,2o8SNlzcEX3yVI7jjBmmRQ,,Floor:15cm - Concreto vassorado,FLOOR
12176,Floor:15cm - Concreto vassorado:899589:6,IfcSlab,1R9zEzfFyN7g$_COCVJbBI,,Floor:15cm - Concreto vassorado,FLOOR
12177,Floor:15cm - Concreto vassorado:899589:7,IfcSlab,3bVWYl4ufm1KzOcHV4bu$5,,Floor:15cm - Concreto vassorado,FLOOR
12178,Floor:15cm - Concreto vassorado:899589:8,IfcSlab,0VGwk6VSlLYRatPDuICk_t,,Floor:15cm - Concreto vassorado,FLOOR
12179,Floor:15cm - Concreto vassorado:899589:9,IfcSlab,2dfTJ7pfxfLB2RiAEnzdFo,,Floor:15cm - Concreto vassorado,FLOOR
12288,Precast Stair:Stair:906512,IfcStair,1f0ubJw15DlvdVb6mLKacs,,Precast Stair:Escada pré-moldada,N/A
12418,Precast Stair:Stair:906512 Run 1,IfcStairFlight,1f0ubJw15DlvdVb6mLKafv,,Monolithic Run:Profundidade de 190 mm,N/A
12544,Precast Stair:Stair:906512 Run 2,IfcStairFlight,1f0ubJw15DlvdVb6mLKdZY,,Monolithic Run:Profundidade de 190 mm,N/A
14284,Precast Stair:Stair:906512 Run 3,IfcStairFlight,1f0ubJw15DlvdVb6mLKdaw,,Monolithic Run:Profundidade de 190 mm,N/A
14349,Precast Stair:Stair:910912,IfcStair,1f0ubJw15DlvdVb6mLKdhc,,Precast Stair:Escada pré-moldada,N/A
14479,Precast Stair:Stair:910912 Run 1,IfcStairFlight,1f0ubJw15DlvdVb6mLKdhd,,Monolithic Run:Profundidade de 190 mm,N/A
14604,Precast Stair:Stair:910912 Run 2,IfcStairFlight,1f0ubJw15DlvdVb6mLKdev,,Monolithic Run:Profundidade de 190 mm,N/A
16344,Precast Stair:Stair:910912 Run 3,IfcStairFlight,1f0ubJw15DlvdVb6mLKde5,,Monolithic Run:Profundidade de 190 mm,N/A
16403,PORTA DE ABRIR - 1 FOLHA:70 x 210:917551,IfcDoor,0AmobgbPP28x08Ek6zwd0O,,PORTA DE ABRIR - 1 FOLHA:70 x 210,N/A
16417,PORTA DE ABRIR - 1 FOLHA:80 x 210:917659,IfcDoor,0AmobgbPP28x08Ek6zwd2i,,PORTA DE ABRIR - 1 FOLHA:80 x 210,N/A
16431,PORTA DE ABRIR - 1 FOLHA:80 x 210:917737,IfcDoor,0AmobgbPP28x08Ek6zwd3U,,PORTA DE ABRIR - 1 FOLHA:80 x 210,N/A
16445,PORTA DE ABRIR - 1 FOLHA:70 x 210:917875,IfcDoor,0AmobgbPP28x08Ek6zwd54,,PORTA DE ABRIR - 1 FOLHA:70 x 210,N/A
16511,Floor:Asfalto:919162,IfcSlab,0AmobgbPP28x08Ek6zwdPD,,Floor:Asfalto,FLOOR
16592,Floor:15cm - Concreto vassorado:919419,IfcSlab,0AmobgbPP28x08Ek6zwdTC,,Floor:15cm - Concreto vassorado,FLOOR
16665,Roads 1:Roads 1:920121,IfcBuildingElementProxy,0AmobgbPP28x08Ek6zwdeE,,Roads 1:Roads 1,N/A
17603,Floor:15cm - Concreto vassorado:920574,IfcSlab,3NTfQHJjPAUOBB_$1wqPsh,,Floor:15cm - Concreto vassorado,FLOOR
17604,Floor:15cm - Concreto vassorado:920574:2,IfcSlab,2y07fOPQajNxhtOjxuZ3mQ,,Floor:15cm - Concreto vassorado,FLOOR
17605,Floor:15cm - Concreto vassorado:920574:3,IfcSlab,3c$C9PixobDarqcfORiUE8,,Floor:15cm - Concreto vassorado,FLOOR
17606,Floor:15cm - Concreto vassorado:920574:4,IfcSlab,0vzhTbA$RYmcA3tjGhUKfE,,Floor:15cm - Concreto vassorado,FLOOR
17607,Floor:15cm - Concreto vassorado:920574:5,IfcSlab,2yUSWFsHVZCdPziRmxjzJ8,,Floor:15cm - Concreto vassorado,FLOOR
17608,Floor:15cm - Concreto vassorado:920574:6,IfcSlab,15iyfGxIGSkkHr7QcickCO,,Floor:15cm - Concreto vassorado,FLOOR
17609,Floor:15cm - Concreto vassorado:920574:7,IfcSlab,2x1g8ECRGbS2_VH5Imm4H2,,Floor:15cm - Concreto vassorado,FLOOR
17610,Floor:15cm - Concreto vassorado:920574:8,IfcSlab,28BzrzSTENArcGvAX7W1ZO,,Floor:15cm - Concreto vassorado,FLOOR
17611,Floor:15cm - Concreto vassorado:920574:9,IfcSlab,0bXB9foHjoujeQexRj19WK,,Floor:15cm - Concreto vassorado,FLOOR
17612,Floor:15cm - Concreto vassorado:920574:10,IfcSlab,0wtMU4wgiNk$YmrNtKyz1z,,Floor:15cm - Concreto vassorado,FLOOR
17613,Floor:15cm - Concreto vassorado:920574:11,IfcSlab,2erW_8tILiMcXPxJ_Do0jB,,Floor:15cm - Concreto vassorado,FLOOR
17614,Floor:15cm - Concreto vassorado:920574:12,IfcSlab,2CpUyT1_cV$NEuYLf3b6hp,,Floor:15cm - Concreto vassorado,FLOOR
17615,Floor:15cm - Concreto vassorado:920574:13,IfcSlab,2JbD6DJ8_QDg_WhQt1iWQ0,,Floor:15cm - Concreto vassorado,FLOOR
17616,Floor:15cm - Concreto vassorado:920574:14,IfcSlab,3fVonSOZFN1WBq1gpaLNBB,,Floor:15cm - Concreto vassorado,FLOOR
17617,Floor:15cm - Concreto vassorado:920574:15,IfcSlab,0gLgiG6IGIwQk7W4O$XzfL,,Floor:15cm - Concreto vassorado,FLOOR
17618,Floor:15cm - Concreto vassorado:920574:16,IfcSlab,3Z_35$9_GF_qYM9cWfh02S,,Floor:15cm - Concreto vassorado,FLOOR
17619,Floor:15cm - Concreto vassorado:920574:17,IfcSlab,2sNsumLJ76IlXyCxZl7iVp,,Floor:15cm - Concreto vassorado,FLOOR
17620,Floor:15cm - Concreto vassorado:920574:18,IfcSlab,1cpg87cdH1SjZ0ta_nrxdg,,Floor:15cm - Concreto vassorado,FLOOR
17621,Floor:15cm - Concreto vassorado:920574:19,IfcSlab,0tF5hZaJEwh6cMLUQFZPkp,,Floor:15cm - Concreto vassorado,FLOOR
17622,Floor:15cm - Concreto vassorado:920574:20,IfcSlab,1r6OO$YlFpQlMzMa6HJkQf,,Floor:15cm - Concreto vassorado,FLOOR
17623,Floor:15cm - Concreto vassorado:920574:21,IfcSlab,1X6QJTP4FTmo$SPBN5$6GU,,Floor:15cm - Concreto vassorado,FLOOR
17624,Floor:15cm - Concreto vassorado:920574:22,IfcSlab,37DnKjEXOKdiPmvGRy05i2,,Floor:15cm - Concreto vassorado,FLOOR
17625,Floor:15cm - Concreto vassorado:920574:23,IfcSlab,3JOuEyX9GV3a0L5RH__OVy,,Floor:15cm - Concreto vassorado,FLOOR
17626,Floor:15cm - Concreto vassorado:920574:24,IfcSlab,0N5vc3fbMqGqi$dkBaHW89,,Floor:15cm - Concreto vassorado,FLOOR
17627,Floor:15cm - Concreto vassorado:920574:25,IfcSlab,0PQlMA2zcC7OlU7CJ4xvso,,Floor:15cm - Concreto vassorado,FLOOR
17628,Floor:15cm - Concreto vassorado:920574:26,IfcSlab,3fQDmKfYgoqN69tpi72kBk,,Floor:15cm - Concreto vassorado,FLOOR
17629,Floor:15cm - Concreto vassorado:920574:27,IfcSlab,2tVGJjzHda0RHpKK422AVG,,Floor:15cm - Concreto vassorado,FLOOR
17630,Floor:15cm - Concreto vassorado:920574:28,IfcSlab,3rKuz343$YNzH$QDS4r9iy,,Floor:15cm - Concreto vassorado,FLOOR
17631,Floor:15cm - Concreto vassorado:920574:29,IfcSlab,2$k6SDvZScPZkogIJB9wBB,,Floor:15cm - Concreto vassorado,FLOOR
17632,Floor:15cm - Concreto vassorado:920574:30,IfcSlab,2xXbiI$Ev6jbtwU1HybHiJ,,Floor:15cm - Concreto vassorado,FLOOR
